日期,模型收益,Baseline收益,超额收益,模型选股
2025-03-13,0.03474324203931056,0.01896871254517731,0.01577452949413325,"300476,601881,603019,601136,600010"
2025-03-14,-0.031068139924389348,0.0016235547030359232,-0.03269169462742527,"300476,000977,301236,600570,688981"
2025-03-17,-0.06871020020764276,-0.0030883128616754573,-0.0656218873459673,"301236,300476,002236,000977,300251"
2025-03-18,-0.06598218083864682,-0.001118154743075994,-0.06486402609557082,"000977,300476,000938,301236,002236"
2025-03-19,-0.06826182493058146,0.007108593346902415,-0.07537041827748388,"002236,300476,301236,603893,000938"
2025-03-20,-0.05860536702311812,0.004389405933787072,-0.06299477295690518,"300476,301236,000977,002236,600570"
2025-03-21,-0.04709312863127628,-0.0018896138802187768,-0.0452035147510575,"600522,000977,300476,603019,002236"
2025-03-24,-0.022981694528486196,-0.006037397808858658,-0.01694429671962754,"000977,600522,688187,300274,002236"
2025-03-25,-0.009180290338800235,-0.022824471717872587,0.013644181379072352,"600522,300274,000938,300251,000977"
2025-03-26,-0.026325910063886203,-0.016303105120108373,-0.01002280494377783,"300274,600522,300251,688187,605117"
2025-03-27,-0.019930807247721605,-0.016023475373865215,-0.00390733187385639,"600415,600522,002236,601899,300251"
2025-03-28,-0.07650260710708093,-0.0219082768716228,-0.05459433023545813,"600522,688187,000938,300251,000630"
2025-03-31,-0.14754468803922335,-0.04843272598404831,-0.09911196205517504,"600522,000938,300308,300251,688187"
2025-04-01,-0.14460651758958465,-0.02140874325576545,-0.1231977743338192,"000963,600276,603259,600415,002422"
2025-04-02,-0.057916523564613256,0.005673491123046071,-0.06359001468765933,"688506,002422,600415,000963,601298"
2025-04-03,0.009510965594253263,0.00954994977392678,-3.898417967351797e-05,"688506,002422,605499,000963,302132"
2025-04-07,0.004824165416440596,0.040341436216503414,-0.03551727080006282,"605499,600161,601229,600039,600600"
2025-04-08,-0.02856242736154404,0.013537895319300918,-0.04210032268084496,"600039,000876,300498,002714,600111"
2025-04-09,-0.025143351003027448,-0.010242832725264961,-0.014900518277762486,"601816,002179,600809,600900,600111"
2025-04-10,0.014304065690049916,0.008670108642310081,0.005633957047739835,"600547,000617,002027,301269,600489"
2025-04-11,-0.025059776107849152,0.01586433363048585,-0.040924109738335004,"002179,301269,600489,601888,600111"
2025-04-14,0.003279347121463361,0.008756114331466124,-0.005476767210002764,"600489,000617,600547,001391,000975"
2025-04-15,0.01165518400612906,0.009203770466343464,0.002451413539785596,"000975,300661,688506,600489,605499"
2025-04-16,-0.01485428248041185,0.008494026140435328,-0.023348308620847177,"600547,000975,600415,600489,300661"
2025-04-17,-0.0009911426802461597,-0.002006134358934153,0.0010149916786879932,"600547,605499,688506,300661,000975"
2025-04-18,-0.020098587096244392,0.008272819726484327,-0.02837140682272872,"600547,300661,000975,300476,688506"
2025-04-21,-0.06622084607471879,0.010693412607547215,-0.076914258682266,"300476,601899,600489,000975,600415"
2025-04-22,-0.04895226459826463,-0.010102944910120693,-0.03884931968814394,"000617,000975,600415,605499,601899"
2025-04-23,-0.029835291378959815,-0.012151945566095468,-0.01768334581286435,"000617,600415,688506,605499,600547"
2025-04-24,-0.01984163521136486,-0.027157138539125512,0.007315503327760653,"600415,605499,600547,000617,688506"
2025-04-25,0.018430314464361407,-0.017520940175460374,0.03595125463982178,"600039,600415,300476,600547,000617"
2025-04-28,0.0417328877001947,-0.007571092922210809,0.049303980622405506,"600415,600547,688256,688506,302132"
2025-04-29,-0.01304705310207801,0.005856307006370964,-0.018903360108448973,"605499,688506,600415,600547,688256"
2025-04-30,-0.03741144799949496,0.01516447756302024,-0.0525759255625152,"002422,300124,603893,688506,605499"
2025-05-06,-0.03699516388855821,0.01346058228748046,-0.05045574617603867,"002422,600547,300476,603501,603986"
2025-05-07,0.02463910760780308,0.02199789813301134,0.002641209474791739,"603986,302132,603893,688506,688256"
2025-05-08,0.02832805178142439,0.03025048628724525,-0.001922434505820858,"300476,601077,302132,600760,300502"
2025-05-09,0.023255926831684537,0.03142353340842803,-0.008167606576743494,"300502,600415,302132,300476,605499"
